//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	109	96	5	5	0	0	2s	100	1	2076
m	116	96	5	5	0	0	2s	100	1	2076
m	118	96	5	5	0	0	2s	100	1	2076
m	122	96	5	5	0	0	2s	100	1	2076
m	124	96	5	5	0	0	2s	100	1	2076
m	125	96	5	5	0	0	2s	100	1	2076
m	129	98	5	5	0	0	2s	100	1	2076
m	131	100	5	5	0	0	2s	100	1	2076
m	132	101	5	5	0	0	2s	100	1	2076
m	135	102	5	5	0	0	2s	100	1	2076
m	136	102	5	5	0	0	2s	100	1	2076
m	138	102	5	5	0	0	2s	100	1	2076
m	142	106	5	5	0	0	2s	100	1	2076
m	143	109	5	5	0	0	2s	100	1	2076
m	140	110	5	5	0	0	2s	100	1	2076
m	143	113	5	5	0	0	2s	100	1	2076
m	149	117	5	5	0	0	2s	100	1	2076
m	155	121	5	5	0	0	2s	100	1	2076
m	150	124	5	5	0	0	2s	100	1	2076
m	143	124	5	5	0	0	2s	100	1	2076
m	140	123	5	5	0	0	2s	100	1	2076
m	131	122	5	5	0	0	2s	100	1	2076
m	128	118	5	5	0	0	2s	100	1	2076
m	131	116	5	5	0	0	2s	100	1	2076
m	126	111	5	5	0	0	2s	100	1	2076
m	115	109	5	5	0	0	2s	100	1	2076
m	103	110	5	5	0	0	2s	100	1	2076
m	90	114	5	5	0	0	2s	100	1	2076
m	83	113	5	5	0	0	2s	100	1	2076
m	82	121	5	5	0	0	2s	100	1	2076
m	82	129	5	5	0	0	2s	100	1	2076
m	88	124	5	5	0	0	2s	100	1	2076
m	94	121	5	5	0	0	2s	100	1	2076
m	97	118	5	5	0	0	2s	100	1	2076
m	94	110	5	5	0	0	2s	100	1	2076
m	92	107	5	5	0	0	2s	100	1	2076
m	99	102	5	5	0	0	2s	100	1	2076
m	108	108	5	5	0	0	2s	100	1	2076
m	101	118	5	5	0	0	2s	100	1	2076
m	96	121	5	5	0	0	2s	100	1	2076
m	88	126	5	5	0	0	2s	100	1	2076
m	82	129	5	5	0	0	2s	100	1	2076
m	76	134	5	5	0	0	2s	100	1	2076
m	74	142	5	5	0	0	2s	100	1	2076
m	79	146	5	5	0	0	2s	100	1	2076
m	78	151	5	5	0	0	2s	100	1	2076
m	77	156	5	5	0	0	2s	100	1	2076
m	82	160	5	5	0	0	2s	100	1	2076
m	88	161	5	5	0	0	2s	100	1	2076
m	95	163	5	5	0	0	2s	100	1	2076
m	91	165	5	5	0	0	2s	100	1	2076
m	92	166	5	5	0	0	2s	100	1	2076
m	94	167	5	5	0	0	2s	100	1	2076
m	104	168	5	5	0	0	2s	100	1	2076
m	109	168	5	5	0	0	2s	100	1	2076
m	116	167	5	5	0	0	2s	100	1	2076
m	120	166	5	5	0	0	2s	100	1	2076
m	127	166	5	5	0	0	2s	100	1	2076
m	136	168	5	5	0	0	2s	100	1	2076
m	140	168	5	5	0	0	2s	100	1	2076
m	146	168	5	5	0	0	2s	100	1	2076
m	148	165	5	5	0	0	2s	100	1	2076
m	153	162	5	5	0	0	2s	100	1	2076
m	154	158	5	5	0	0	2s	100	1	2076
m	156	154	5	5	0	0	2s	100	1	2076
m	154	146	5	5	0	0	2s	100	1	2076
m	148	143	5	5	0	0	2s	100	1	2076
m	152	139	5	5	0	0	2s	100	1	2076
m	153	134	5	5	0	0	2s	100	1	2076
m	148	129	5	5	0	0	2s	100	1	2076
m	144	129	5	5	0	0	2s	100	1	2076
m	134	136	5	5	0	0	2s	100	1	2076
m	140	143	5	5	0	0	2s	100	1	2076
m	143	152	5	5	0	0	2s	100	1	2076
m	132	153	5	5	0	0	2s	100	1	2076
m	128	152	5	5	0	0	2s	100	1	2076
m	118	152	5	5	0	0	2s	100	1	2076
m	106	158	5	5	0	0	2s	100	1	2076
m	100	156	5	5	0	0	2s	100	1	2076
m	92	155	5	5	0	0	2s	100	1	2076
m	84	153	5	5	0	0	2s	100	1	2076
m	84	146	5	5	0	0	2s	100	1	2076
m	87	143	5	5	0	0	2s	100	1	2076
m	81	138	5	5	0	0	2s	100	1	2076
m	85	134	5	5	0	0	2s	100	1	2076
m	92	133	5	5	0	0	2s	100	1	2076
m	94	140	5	5	0	0	2s	100	1	2076
m	93	146	5	5	0	0	2s	100	1	2076
m	92	148	5	5	0	0	2s	100	1	2076
m	98	147	5	5	0	0	2s	100	1	2076
m	103	146	5	5	0	0	2s	100	1	2076
m	109	153	5	5	0	0	2s	100	1	2076
m	114	156	5	5	0	0	2s	100	1	2076
m	118	159	5	5	0	0	2s	100	1	2076
m	133	159	5	5	0	0	2s	100	1	2076
m	136	159	5	5	0	0	2s	100	1	2076
m	138	152	5	5	0	0	2s	100	1	2076
m	136	146	5	5	0	0	2s	100	1	2076
