//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//NR1
m	862	651	5	5	0	0	580s	500	3	5093
m	998	447	5	5	0	0	580s	500	3	5093
m	934	455	5	5	0	0	580s	500	3	5093
m	908	606	5	5	0	0	580s	500	3	5093
m	926	750	5	5	0	0	580s	500	3	5093
m	843	688	5	5	0	0	580s	500	3	5093
m	800	676	5	5	0	0	580s	500	3	5093
m	823	625	5	5	0	0	580s	500	3	5093
m	849	593	5	5	0	0	580s	500	3	5093
m	864	635	5	5	0	0	580s	500	3	5093
m	868	665	5	5	0	0	300s	500	3	5595
m	903	644	5	5	0	0	300s	500	3	5595
m	699	686	5	5	0	0	300s	500	3	5595
m	746	833	5	5	0	0	300s	500	3	5595
m	785	836	5	5	0	0	300s	500	3	5595
m	824	836	5	5	0	0	300s	500	3	5595
m	855	840	5	5	0	0	300s	500	3	5595
m	895	842	5	5	0	0	300s	500	3	5595
m	934	835	5	5	0	0	300s	500	3	2493
m	985	833	5	5	0	0	300s	500	3	2493
m	565	608	5	5	0	0	300s	500	3	2493
m	593	689	5	5	0	0	300s	500	3	2493
m	656	636	5	5	0	0	300s	500	3	2493
m	638	582	5	5	0	0	300s	500	3	2493
m	648	506	5	5	0	0	300s	500	3	2493
m	685	493	5	5	0	0	300s	500	3	2493
m	758	458	5	5	0	0	300s	500	3	2493
m	850	435	5	5	0	0	580s	500	3	5304
m	982	452	5	5	0	0	580s	500	3	5304
m	546	720	5	5	0	0	580s	500	3	5304
m	603	750	5	5	0	0	580s	500	3	5304
m	634	856	5	5	0	0	580s	500	3	5304
m	730	839	5	5	0	0	300s	500	3	5905
m	783	879	5	5	0	0	300s	500	3	5905
m	828	959	5	5	0	0	300s	500	3	5905
m	894	882	5	5	0	0	300s	500	3	5905
m	859	959	5	5	0	0	300s	500	3	5905
m	5036	939	5	5	0	0	300s	500	3	2295
m	5053	830	5	5	0	0	300s	500	3	2295
m	5040	842	5	5	0	0	300s	500	3	2295
m	5064	828	5	5	0	0	300s	500	3	2295
m	5557	767	5	5	0	0	300s	500	3	2295
m	5530	646	5	5	0	0	60s	500	3	5095
m	5570	576	5	5	0	0	60s	500	3	5095
m	5556	479	5	5	0	0	60s	500	3	2206
m	5542	496	5	5	0	0	60s	500	3	2206
m	5065	479	5	5	0	0	60s	500	3	2206
