//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//NR1
m	611	746	10	10	0	0	600s	100	5	1091
m	534	761	10	10	0	0	600s	100	5	1093
m	479	755	10	10	0	0	600s	100	5	1901
m	420	704	10	10	0	0	600s	100	5	1191
m	676	633	10	10	0	0	600s	100	5	2493
m	680	555	10	10	0	0	600s	100	5	2291
m	737	371	10	10	0	0	600s	100	5	1304
m	722	473	10	10	0	0	600s	100	5	1091
m	873	550	10	10	0	0	600s	100	5	1093
m	853	699	10	10	0	0	600s	100	5	1901
m	928	738	10	10	0	0	600s	100	5	1191
m	952	586	10	10	0	0	600s	100	5	2493
m	655	269	10	10	0	0	600s	100	5	2291
m	598	250	10	10	0	0	600s	100	5	1304
m	195	298	10	10	0	0	600s	100	5	1091
m	269	379	10	10	0	0	600s	100	5	1093
m	270	475	10	10	0	0	600s	100	5	1901
m	242	562	10	10	0	0	600s	100	5	1191
m	937	1099	10	10	0	0	600s	100	5	2493
m	860	1195	10	10	0	0	600s	100	5	2291
m	792	1120	10	10	0	0	600s	100	5	1304
m	1391	439	10	10	0	0	600s	100	5	1091
m	1440	349	10	10	0	0	600s	100	5	1093
m	1257	525	10	10	0	0	600s	100	5	1901
m	1413	564	10	10	0	0	600s	100	5	1191
m	1293	633	10	10	0	0	600s	100	5	2493
m	1410	561	10	10	0	0	600s	100	5	2291
m	1224	682	10	10	0	0	600s	100	5	1304
m	1304	978	10	10	0	0	600s	100	5	1091
m	1123	977	10	10	0	0	600s	100	5	1093
m	1416	988	10	10	0	0	600s	100	5	1901
m	1011	1025	10	10	0	0	600s	100	5	1191
m	1022	1222	10	10	0	0	600s	100	5	2493
m	1091	1309	10	10	0	0	600s	100	5	2291
m	1004	1400	10	10	0	0	600s	100	5	1304
m	1165	1060	10	10	0	0	600s	100	5	1901
