//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
// NR1
r	1309	1137	10	10	0	0	600s	100	1	691
r	1391	1135	10	10	0	0	600s	100	1	791
r	1352	1214	10	10	0	0	600s	100	1	2091
r	978	600	10	10	0	0	600s	100	1	691
r	943	371	10	10	0	0	600s	100	1	791
r	849	389	10	10	0	0	600s	100	1	2091
r	437	522	10	10	0	0	600s	100	1	791
r	335	511	10	10	0	0	600s	100	1	2091
r	990	1403	10	10	0	0	600s	100	1	791
r	956	1058	10	10	0	0	600s	100	1	691
r	822	1136	10	10	0	0	600s	100	1	2091
r	1259	829	10	10	0	0	600s	100	1	691
r	1230	750	10	10	0	0	600s	100	1	791
r	1237	671	10	10	0	0	600s	100	1	2091
r	1105	443	10	10	0	0	600s	100	1	691
r	1025	413	10	10	0	0	600s	100	1	791
r	1370	343	10	10	0	0	600s	100	1	2091
r	1200	296	10	10	0	0	600s	100	1	691
r	1018	1295	10	10	0	0	600s	100	1	791
r	1089	1348	10	10	0	0	600s	100	1	2091
